age,workclass,education,maritalstatus,occupation,race,sex,hoursperweek,country,income
18-21,Private,HS-grad,Never-married,Farming-fishing,White,Male,45,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,10,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,25,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,35,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,30,United-States,Lessan50K
18-21,Private,Some-college,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Adm-clerical,White,Male,15,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,42,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,40,United-States,LessanTh50K
18-21,Private,Some-college,Never-married,Craft-repair,White,Male,18-21,United-States,LessThan50K
18-21,Private,10th,Never-married,Other-service,White,Female,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Male,30,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Adm-clerical,White,Male,10,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,White,Female,40,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,White,Male,40,Portugal,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,10,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,38,United-States,Lessan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Female,18-21,United-States,LessThan50K
18-21,Private,7th-8th,Never-married,Other-service,White,Male,60,United-States,MoreThan50K
18-21,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,18-21,United-States,LessThan50K**
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,40,Puerto-Rico,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Male,40,United-States,LessThan50K
18-21,Local-gov,HS-grad,Never-married,Craft-repair,Black,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,10,Thailand,LessThan50K
18-21,Private,Some-college,Never-married,Tech-support,White,Female,40,?,LessThan50K
18-21,Private,HS-grad,Never-married,Exec-managerial,Black,Male,32,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Black,Male,30,United-States,Lessan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,40,Mexico,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,16,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,35,United-States,Lessan50K
18-21,Private,10th,Never-married,Other-service,Black,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,9,United-States,Lessan50K
18-21,?,Some-college,Never-married,?,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,30,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Farming-fishing,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,40,United-States,Lessan50K
18-21,Private,Some-college,Never-married,Exec-managerial,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Female,35,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Black,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Exec-managerial,Black,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,18-21,United-States,LessThan50K
18-21,Self-emp-not-inc,9th,Never-married,Prof-specialty,White,Male,35,Mexico,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Female,15,United-States,LessThan50K
18-21,Private,7th-8th,Married-civ-spouse,Craft-repair,White,Male,99,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Male,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Farming-fishing,White,Male,40,United-States,Lessan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,4,United-States,LessThan50K
18-21,Private,11th,Never-married,Farming-fishing,White,Male,24,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,White,Male,60,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,White,Male,45,United-States,LessThan50K
18-21,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,White,Male,50,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,34,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,12,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Farming-fishing,White,Female,15,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,15,United-States,LessThan50K
18-21,?,10th,Never-married,?,Black,Male,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,30,United-States,LessanTh50K
18-21,Local-gov,Some-college,Never-married,Other-service,Black,Female,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Asian-Pac-Islander,Female,18-21,Philippines,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Female,40,El-Salvador,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,10,United-States,LessThan50K
18-21,Private,12th,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,60,United-States,Lessan50K
18-21,Private,12th,Never-married,Sales,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
18-21,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Male,53,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Exec-managerial,White,Female,28,United-States,LessThan50K**
18-21,?,HS-grad,Never-married,?,Black,Female,25,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Farming-fishing,White,Male,12,United-States,LessThan50K**
18-21,?,Some-college,Never-married,?,White,Female,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Craft-repair,White,Male,45,Mexico,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Male,12,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,70,United-States,LessThan50K
